run_name,source,target,seed,epoch,total,cls,qdom,qcls,div,sda,rho,grl,lr,val_loss,val_accuracy,val_macro_f1
AT1_to_DK1_seed1,AT1,DK1,1,75,-0.7313,0.0384,3.2627,3.2166,-8.4156,1.1665,1.0,1.0,0.000146,0.2106,0.94,0.7815
AT1_to_DK1_seed1,AT1,DK1,1,76,-0.6086,0.0402,3.1023,3.428,-8.4169,1.2377,1.0,1.0,0.000136,0.2461,0.94,0.7689
AT1_to_DK1_seed1,AT1,DK1,1,77,-0.6236,0.039,3.0526,3.4626,-8.4422,1.2645,1.0,1.0,0.000125,0.2928,0.93,0.7474
AT1_to_DK1_seed1,AT1,DK1,1,78,-0.3404,0.0384,3.2758,3.5284,-8.4049,1.222,1.0,1.0,0.000115,0.2676,0.93,0.7653
AT1_to_DK1_seed1,AT1,DK1,1,79,-0.1098,0.0356,3.2999,3.7374,-8.3898,1.2072,1.0,1.0,0.000105,0.2572,0.93,0.7391
AT1_to_DK1_seed1,AT1,DK1,1,80,0.3796,0.0408,3.3053,4.1843,-8.4325,1.2818,1.0,1.0,9.55e-05,0.2899,0.93,0.7153
AT1_to_DK1_seed1,AT1,DK1,1,81,-0.2225,0.0389,3.1144,3.8123,-8.4113,1.2232,1.0,1.0,8.65e-05,0.2266,0.94,0.7586
AT1_to_DK1_seed1,AT1,DK1,1,82,-0.7319,0.0334,3.0668,3.3779,-8.4023,1.1923,1.0,1.0,7.78e-05,0.19,0.95,0.7989
AT1_to_DK1_seed1,AT1,DK1,1,83,-0.5034,0.0317,3.3151,3.3113,-8.4026,1.2411,1.0,1.0,6.96e-05,0.2145,0.94,0.7844
AT1_to_DK1_seed1,AT1,DK1,1,84,-0.2795,0.0335,3.4179,3.4585,-8.4688,1.2794,1.0,1.0,6.18e-05,0.193,0.95,0.7962
AT1_to_DK1_seed1,AT1,DK1,1,85,-0.6881,0.0296,3.3274,3.1947,-8.4332,1.1935,1.0,1.0,5.45e-05,0.1778,0.96,0.8118
AT1_to_DK1_seed1,AT1,DK1,1,86,-0.7491,0.0273,3.2642,3.1975,-8.4171,1.1791,1.0,1.0,4.76e-05,0.1906,0.95,0.7948
AT1_to_DK1_seed1,AT1,DK1,1,87,-0.6724,0.0264,3.2404,3.3337,-8.4466,1.1738,1.0,1.0,4.11e-05,0.1931,0.95,0.7891
AT1_to_DK1_seed1,AT1,DK1,1,88,-0.4768,0.0268,3.3396,3.3994,-8.4152,1.1725,1.0,1.0,3.51e-05,0.1829,0.95,0.7932
AT1_to_DK1_seed1,AT1,DK1,1,89,-0.3702,0.0266,3.4103,3.4246,-8.4188,1.1871,1.0,1.0,2.96e-05,0.194,0.95,0.7949
AT1_to_DK1_seed1,AT1,DK1,1,90,-0.3882,0.0275,3.362,3.4399,-8.4022,1.1846,1.0,1.0,2.45e-05,0.191,0.95,0.799
AT1_to_DK1_seed1,AT1,DK1,1,91,-0.48,0.0278,3.2881,3.4843,-8.455,1.1748,1.0,1.0,1.99e-05,0.1934,0.95,0.7925
AT1_to_DK1_seed1,AT1,DK1,1,92,-0.5052,0.0282,3.2191,3.4776,-8.3956,1.1655,1.0,1.0,1.57e-05,0.1893,0.95,0.797
AT1_to_DK1_seed1,AT1,DK1,1,93,-0.5286,0.0277,3.2188,3.5032,-8.4382,1.1598,1.0,1.0,1.2e-05,0.1985,0.95,0.8009
AT1_to_DK1_seed1,AT1,DK1,1,94,-0.4768,0.0291,3.2395,3.4984,-8.3999,1.1561,1.0,1.0,8.86e-06,0.1935,0.95,0.8055
AT1_to_DK1_seed1,AT1,DK1,1,95,-0.509,0.0289,3.2274,3.503,-8.4217,1.1534,1.0,1.0,6.16e-06,0.1911,0.95,0.8
AT1_to_DK1_seed1,AT1,DK1,1,96,-0.4965,0.0294,3.2245,3.5023,-8.4039,1.1513,1.0,1.0,3.94e-06,0.1788,0.96,0.8165
AT1_to_DK1_seed1,AT1,DK1,1,97,-0.5121,0.0278,3.2153,3.506,-8.4146,1.1534,1.0,1.0,2.22e-06,0.1933,0.95,0.81
