run_name,source,target,seed,true_class,pred_class,count
AT1_to_DK1_seed2,AT1,DK1,2,winter_rapeseed,winter_wheat,15
AT1_to_DK1_seed2,AT1,DK1,2,winter_rye,corn,3
AT1_to_DK1_seed2,AT1,DK1,2,winter_rye,horsebeans,4
AT1_to_DK1_seed2,AT1,DK1,2,winter_rye,meadow,85
AT1_to_DK1_seed2,AT1,DK1,2,winter_rye,spring_barley,4
AT1_to_DK1_seed2,AT1,DK1,2,winter_rye,spring_oat,19
AT1_to_DK1_seed2,AT1,DK1,2,winter_rye,winter_barley,68
AT1_to_DK1_seed2,AT1,DK1,2,winter_rye,winter_rapeseed,4
AT1_to_DK1_seed2,AT1,DK1,2,winter_rye,winter_rye,223
AT1_to_DK1_seed2,AT1,DK1,2,winter_rye,winter_triticale,208
AT1_to_DK1_seed2,AT1,DK1,2,winter_rye,winter_wheat,155
AT1_to_DK1_seed2,AT1,DK1,2,winter_triticale,corn,0
AT1_to_DK1_seed2,AT1,DK1,2,winter_triticale,horsebeans,0
AT1_to_DK1_seed2,AT1,DK1,2,winter_triticale,meadow,12
AT1_to_DK1_seed2,AT1,DK1,2,winter_triticale,spring_barley,0
AT1_to_DK1_seed2,AT1,DK1,2,winter_triticale,spring_oat,3
AT1_to_DK1_seed2,AT1,DK1,2,winter_triticale,winter_barley,2
AT1_to_DK1_seed2,AT1,DK1,2,winter_triticale,winter_rapeseed,0
AT1_to_DK1_seed2,AT1,DK1,2,winter_triticale,winter_rye,10
AT1_to_DK1_seed2,AT1,DK1,2,winter_triticale,winter_triticale,37
AT1_to_DK1_seed2,AT1,DK1,2,winter_triticale,winter_wheat,28
AT1_to_DK1_seed2,AT1,DK1,2,winter_wheat,corn,7
AT1_to_DK1_seed2,AT1,DK1,2,winter_wheat,horsebeans,23
AT1_to_DK1_seed2,AT1,DK1,2,winter_wheat,meadow,99
AT1_to_DK1_seed2,AT1,DK1,2,winter_wheat,spring_barley,3
AT1_to_DK1_seed2,AT1,DK1,2,winter_wheat,spring_oat,36
AT1_to_DK1_seed2,AT1,DK1,2,winter_wheat,winter_barley,107
AT1_to_DK1_seed2,AT1,DK1,2,winter_wheat,winter_rapeseed,2
AT1_to_DK1_seed2,AT1,DK1,2,winter_wheat,winter_rye,97
AT1_to_DK1_seed2,AT1,DK1,2,winter_wheat,winter_triticale,399
AT1_to_DK1_seed2,AT1,DK1,2,winter_wheat,winter_wheat,1207
AT1_to_DK1_seed3,AT1,DK1,3,corn,corn,585
AT1_to_DK1_seed3,AT1,DK1,3,corn,horsebeans,0
AT1_to_DK1_seed3,AT1,DK1,3,corn,meadow,198
AT1_to_DK1_seed3,AT1,DK1,3,corn,spring_barley,0
AT1_to_DK1_seed3,AT1,DK1,3,corn,spring_oat,1
AT1_to_DK1_seed3,AT1,DK1,3,corn,winter_barley,2
AT1_to_DK1_seed3,AT1,DK1,3,corn,winter_rapeseed,0
AT1_to_DK1_seed3,AT1,DK1,3,corn,winter_rye,0
AT1_to_DK1_seed3,AT1,DK1,3,corn,winter_triticale,0
AT1_to_DK1_seed3,AT1,DK1,3,corn,winter_wheat,0
AT1_to_DK1_seed3,AT1,DK1,3,horsebeans,corn,11
AT1_to_DK1_seed3,AT1,DK1,3,horsebeans,horsebeans,3
AT1_to_DK1_seed3,AT1,DK1,3,horsebeans,meadow,45
AT1_to_DK1_seed3,AT1,DK1,3,horsebeans,spring_barley,1
AT1_to_DK1_seed3,AT1,DK1,3,horsebeans,spring_oat,0
AT1_to_DK1_seed3,AT1,DK1,3,horsebeans,winter_barley,0
AT1_to_DK1_seed3,AT1,DK1,3,horsebeans,winter_rapeseed,0
AT1_to_DK1_seed3,AT1,DK1,3,horsebeans,winter_rye,0
AT1_to_DK1_seed3,AT1,DK1,3,horsebeans,winter_triticale,0
AT1_to_DK1_seed3,AT1,DK1,3,horsebeans,winter_wheat,0
AT1_to_DK1_seed3,AT1,DK1,3,meadow,corn,57
AT1_to_DK1_seed3,AT1,DK1,3,meadow,horsebeans,0
AT1_to_DK1_seed3,AT1,DK1,3,meadow,meadow,2457
AT1_to_DK1_seed3,AT1,DK1,3,meadow,spring_barley,0
AT1_to_DK1_seed3,AT1,DK1,3,meadow,spring_oat,0
AT1_to_DK1_seed3,AT1,DK1,3,meadow,winter_barley,14
AT1_to_DK1_seed3,AT1,DK1,3,meadow,winter_rapeseed,0
AT1_to_DK1_seed3,AT1,DK1,3,meadow,winter_rye,1
AT1_to_DK1_seed3,AT1,DK1,3,meadow,winter_triticale,10
AT1_to_DK1_seed3,AT1,DK1,3,meadow,winter_wheat,6
AT1_to_DK1_seed3,AT1,DK1,3,spring_barley,corn,356
